Exp;Plot;Longitude;Latitude
120;75;-93.187818;45.403795
120;76;-93.18765;45.403794
120;77;-93.187643;45.403645
120;78;-93.187823;45.403643
120;79;-93.18799;45.40364
120;80;-93.188159;45.403632
120;81;-93.188318;45.40363
120;82;-93.188479;45.403633
120;83;-93.188658;45.403631
120;84;-93.188882;45.403625
120;85;-93.189037;45.403623
120;86;-93.189209;45.403628
120;87;-93.189372;45.403616
120;88;-93.189542;45.403616
120;89;-93.189714;45.403613
120;90;-93.189934;45.403608
120;91;-93.190108;45.403608
120;92;-93.190274;45.403603
120;93;-93.190448;45.4036
120;94;-93.190603;45.403604
120;95;-93.190767;45.403604
120;96;-93.190761;45.403482
120;97;-93.190597;45.403483
120;98;-93.190442;45.403486
120;99;-93.190267;45.403488
120;100;-93.190104;45.403491
120;101;-93.18994;45.403495
120;102;-93.189712;45.403492
120;103;-93.189549;45.403495
120;104;-93.189363;45.403499
120;105;-93.18921;45.403504
120;106;-93.189032;45.403504
120;107;-93.188875;45.403506
120;108;-93.188652;45.40351
120;109;-93.188482;45.403516
120;110;-93.188318;45.403516
120;111;-93.188155;45.403519
120;112;-93.187984;45.403519
120;113;-93.187817;45.403522
120;114;-93.187653;45.403527
120;115;-93.187646;45.403364
120;116;-93.187799;45.403365
120;117;-93.187966;45.403362
120;118;-93.188136;45.403353
120;119;-93.188308;45.403353
120;120;-93.188475;45.40335
120;121;-93.188635;45.403347
120;122;-93.18887;45.40335
120;123;-93.18903;45.403347
120;124;-93.189193;45.403347
120;125;-93.18936;45.403341
120;126;-93.189531;45.403338
120;127;-93.189691;45.403335
120;128;-93.189919;45.403332
120;129;-93.19009;45.403329
120;130;-93.190253;45.403326
120;131;-93.190428;45.403323
120;132;-93.190583;45.40332
120;133;-93.190739;45.403317
120;134;-93.190741;45.403207
120;135;-93.190589;45.403207
120;136;-93.190429;45.403207
120;137;-93.190258;45.40321
120;138;-93.190095;45.403213
120;139;-93.18992;45.403216
120;140;-93.189689;45.403214
120;141;-93.189525;45.403217
120;142;-93.189358;45.40322
120;143;-93.189187;45.403225
120;144;-93.189024;45.403226
120;145;-93.188862;45.403229
120;146;-93.188629;45.403232
120;147;-93.188465;45.403237
120;148;-93.18831;45.403235
120;149;-93.188131;45.40324
120;150;-93.18796;45.403241
120;151;-93.187793;45.403244
120;152;-93.187641;45.403246
120;153;-93.187636;45.403101
120;154;-93.1878;45.403099
120;155;-93.187964;45.403089
120;156;-93.188139;45.403092
120;157;-93.188302;45.403085
120;158;-93.188468;45.40309
120;159;-93.188643;45.403087
120;160;-93.188867;45.403082
120;161;-93.189019;45.403084
120;162;-93.18919;45.403081
120;163;-93.189356;45.403069
120;164;-93.189533;45.403066
120;165;-93.18969;45.403063
120;166;-93.189927;45.403066
120;167;-93.190098;45.403064
120;168;-93.190261;45.403061
120;169;-93.190436;45.403058
120;170;-93.190592;45.403055
120;171;-93.19074;45.403049
120;172;-93.190749;45.402933
120;173;-93.190586;45.402933
120;174;-93.19043;45.402936
120;175;-93.190256;45.402939
120;176;-93.190092;45.402942
120;177;-93.189929;45.402951
120;178;-93.189697;45.402948
120;179;-93.189524;45.402946
120;180;-93.189363;45.402954
120;181;-93.189188;45.402954
120;182;-93.189017;45.40296
120;183;-93.188869;45.402966
120;184;-93.188637;45.402966
120;185;-93.188464;45.402964
120;186;-93.188303;45.402972
120;187;-93.18814;45.402975
120;188;-93.187965;45.402975
120;189;-93.187802;45.402978
120;190;-93.187642;45.402983
120;191;-93.187631;45.402828
120;192;-93.187791;45.402829
120;193;-93.187958;45.402826
120;194;-93.188127;45.402823
120;195;-93.188293;45.402823
120;196;-93.188452;45.40282
120;197;-93.188627;45.402817
120;198;-93.188851;45.402811
120;199;-93.189022;45.402811
120;200;-93.189186;45.402811
120;201;-93.189353;45.402805
120;202;-93.189524;45.402802
120;203;-93.189683;45.402799
120;204;-93.189911;45.402796
120;205;-93.190082;45.402793
120;206;-93.190245;45.40279
120;207;-93.19042;45.402787
120;208;-93.19058;45.402782
120;209;-93.190735;45.402773
120;210;-93.190733;45.402663
120;211;-93.19057;45.402663
120;212;-93.190414;45.402666
