"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,6,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"INTRODUCED",267.427
"A",1,6,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"NATIVE",3.36
"A",1,6,1984,0,"Intact",8,27.2,"2. NPK+",1,3,NA,0.043
"A",1,6,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"INTRODUCED",341.167
"A",1,6,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"NATIVE",2.1
"A",1,6,1985,0,"Intact",8,27.2,"2. NPK+",1,4,NA,0.1
"A",1,6,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"INTRODUCED",200.4
"A",1,6,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"INTRODUCED",246.7
"A",1,6,1987,0,"Intact",8,27.2,"2. NPK+",1,6,NA,1.267
"A",1,6,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"INTRODUCED",44.9
"A",1,6,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"INTRODUCED",407.47
"A",1,6,1989,0,"Intact",8,27.2,"2. NPK+",1,8,NA,0.9
"A",1,6,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"INTRODUCED",127.73
"A",1,6,1990,0,"Intact",8,27.2,"2. NPK+",1,9,NA,0.123
"A",1,6,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"INTRODUCED",389.57
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"INTRODUCED",326.54
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"NATIVE",2.433
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,NA,0.433
"A",1,6,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"INTRODUCED",221.834
"A",1,6,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"NATIVE",0.467
"A",1,6,1993,0,"Intact",8,27.2,"2. NPK+",1,12,NA,2.667
"A",1,6,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"INTRODUCED",157.403
"A",1,6,1994,0,"Intact",8,27.2,"2. NPK+",1,13,NA,0.1
"A",1,6,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"INTRODUCED",285.667
"A",1,6,1995,0,"Intact",8,27.2,"2. NPK+",1,14,NA,7.7
"A",1,6,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"INTRODUCED",390.163
"A",1,6,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"NATIVE",0.6
"A",1,6,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"INTRODUCED",21.1
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"INTRODUCED",474.677
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"NATIVE",0.274
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,NA,4.5
"A",1,6,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"INTRODUCED",511.967
"A",1,6,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"INTRODUCED",233.9
"A",1,6,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"NATIVE",0.167
"A",1,6,2000,0,"Intact",8,27.2,"2. NPK+",1,19,NA,17.067
"A",1,6,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"INTRODUCED",232.263
"A",1,6,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"NATIVE",1.367
"A",1,6,2001,0,"Intact",8,27.2,"2. NPK+",1,20,NA,8.233
"A",1,6,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"INTRODUCED",204.8
"A",1,6,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"NATIVE",3.504
"A",1,6,2002,0,"Intact",8,27.2,"2. NPK+",1,21,NA,0.533
"A",1,6,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"INTRODUCED",190.467
"A",1,6,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"NATIVE",7.267
"A",1,6,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"INTRODUCED",303.3666
"A",1,6,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"NATIVE",9.5667
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"INTRODUCED",124.1
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"NATIVE",29.43
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,NA,11.233
"A",1,11,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"INTRODUCED",1142.747
"A",1,11,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"NATIVE",0.667
"A",1,11,1983,0,"Intact",8,27.2,"2. NPK+",1,2,NA,124
"A",1,11,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"INTRODUCED",283.233
"A",1,11,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"NATIVE",0.3
"A",1,11,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"INTRODUCED",364.23
"A",1,11,1985,0,"Intact",8,27.2,"2. NPK+",1,4,NA,0.353
"A",1,11,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"INTRODUCED",153.613
"A",1,11,1986,0,"Intact",8,27.2,"2. NPK+",1,5,NA,7.063
"A",1,11,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"INTRODUCED",199.33
"A",1,11,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"INTRODUCED",10.333
"A",1,11,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"INTRODUCED",244
"A",1,11,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"INTRODUCED",70.93
"A",1,11,1990,0,"Intact",8,27.2,"2. NPK+",1,9,NA,0.07
"A",1,11,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"INTRODUCED",314.303
"A",1,11,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"INTRODUCED",224.67
"A",1,11,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"NATIVE",2.2
"A",1,11,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"INTRODUCED",296.011
"A",1,11,1993,0,"Intact",8,27.2,"2. NPK+",1,12,NA,0.133
"A",1,11,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"INTRODUCED",150.937
"A",1,11,1994,0,"Intact",8,27.2,"2. NPK+",1,13,NA,0.8
"A",1,11,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"INTRODUCED",286.3
"A",1,11,1995,0,"Intact",8,27.2,"2. NPK+",1,14,NA,1.203
"A",1,11,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"INTRODUCED",241.43
"A",1,11,1996,0,"Intact",8,27.2,"2. NPK+",1,15,NA,2.6
"A",1,11,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"INTRODUCED",4.833
"A",1,11,1997,0,"Intact",8,27.2,"2. NPK+",1,16,NA,1.467
"A",1,11,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"INTRODUCED",332.37
