"exp","field","plot","disk","yr.plowed","ntrt","nadd","other.add","year","dur","precip.mm","precip.gs","mass.above","rich","even","ens.pie"
1,"A",11,0,1968,8,27.2,1,1994,13,797.052,488.696,151.77,4,0.25421935714587,1.01687742858348
1,"A",11,0,1968,8,27.2,1,1996,15,959.104,483.362,244.03,2,0.510767918237474,1.02153583647495
1,"A",11,0,1968,8,27.2,1,1997,16,690.626,463.296,6.3,2,0.777930894334758,1.55586178866952
1,"A",11,0,1968,8,27.2,1,1999,18,734.822,561.086,257.47,2,0.736332380477354,1.47266476095471
1,"A",11,0,1968,8,27.2,1,2000,19,599.694,354.33,373.87,2,0.923151874689209,1.84630374937842
1,"A",11,0,1968,8,27.2,1,2002,21,905.51,600.71,209.257,4,0.34870670434081,1.39482681736324
1,"A",11,0,1968,8,27.2,1,2004,23,857.504,512.064,315.6101,4,0.252309888670365,1.00923955468146
1,"A",13,0,1968,5,5.4,1,1982,1,879.348,373.888,155.524,14,0.25765818721684,3.60721462103577
1,"A",13,0,1968,5,5.4,1,1983,2,858.012,550.926,140.744,16,0.232103221337755,3.71365154140407
1,"A",13,0,1968,5,5.4,1,1984,3,876.046,527.304,352.715,16,0.165569562839082,2.64911300542531
1,"A",13,0,1968,5,5.4,1,1985,4,993.648,502.92,229.085,7,0.148862350211003,1.04203645147702
1,"A",13,0,1968,5,5.4,1,1986,5,858.52,512.318,205.13,8,0.183456730452471,1.46765384361977
1,"A",13,0,1968,5,5.4,1,1987,6,578.612,379.984,190.42,4,0.262323782918382,1.04929513167353
1,"A",13,0,1968,5,5.4,1,1988,7,591.312,291.084,24.267,2,0.907814819932963,1.81562963986593
1,"A",13,0,1968,5,5.4,1,1989,8,618.744,411.226,242.403,2,0.549378944614935,1.09875788922987
1,"A",13,0,1968,5,5.4,1,1990,9,1058.164,780.542,113.37,4,0.460868915965483,1.84347566386193
1,"A",13,0,1968,5,5.4,1,1991,10,1163.066,664.972,218.397,2,0.640612242944635,1.28122448588927
1,"A",13,0,1968,5,5.4,1,1992,11,717.55,425.958,56.133,1,1,1
1,"A",13,0,1968,5,5.4,1,1993,12,1026.16,706.374,222.837,2,0.956881758617779,1.91376351723556
1,"A",13,0,1968,5,5.4,1,1994,13,797.052,488.696,75.271,6,0.313428896611364,1.88057337966818
1,"A",13,0,1968,5,5.4,1,1996,15,959.104,483.362,250.767,2,0.888502177534403,1.77700435506881
1,"A",13,0,1968,5,5.4,1,1997,16,690.626,463.296,100.033,2,0.717083286289722,1.43416657257944
1,"A",13,0,1968,5,5.4,1,1999,18,734.822,561.086,257.613,3,0.595887325681802,1.78766197704541
1,"A",13,0,1968,5,5.4,1,2000,19,599.694,354.33,95.944,4,0.570714472007909,2.28285788803163
1,"A",13,0,1968,5,5.4,1,2002,21,905.51,600.71,140.84,3,0.385436712444081,1.15631013733224
1,"A",13,0,1968,5,5.4,1,2004,23,857.504,512.064,317.6333,3,0.342553337131054,1.02766001139316
1,"A",14,0,1968,6,9.5,1,1982,1,879.348,373.888,177.26,13,0.295338067462816,3.83939487701661
