"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","functional.group","mass.above"
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,"C4",7.767
"A",1,5,1989,0,"Intact",9,0,"1. Control",0,8,"F",26.866
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,"C3",49.193
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,"C4",27.5
"A",1,5,1990,0,"Intact",9,0,"1. Control",0,9,"F",0.033
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,"C3",104.733
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,"C4",36.533
"A",1,5,1991,0,"Intact",9,0,"1. Control",0,10,"F",1.043
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,"C3",98.267
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,"C4",60.633
"A",1,5,1992,0,"Intact",9,0,"1. Control",0,11,"F",1.148
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,"C3",96.4
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,"C4",88.667
"A",1,5,1993,0,"Intact",9,0,"1. Control",0,12,"F",0.024
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,"C3",75.434
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,"C4",32.333
"A",1,5,1994,0,"Intact",9,0,"1. Control",0,13,"F",0.602
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,"C3",64.27
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,"C4",62.567
"A",1,5,1995,0,"Intact",9,0,"1. Control",0,14,"F",6.367
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,"C3",168.967
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,"C4",31.267
"A",1,5,1996,0,"Intact",9,0,"1. Control",0,15,"F",0.92
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,"C3",23.733
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,"C4",32.933
"A",1,5,1997,0,"Intact",9,0,"1. Control",0,16,"F",0.033
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,"C3",85.767
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,"C4",16.333
"A",1,5,1998,0,"Intact",9,0,"1. Control",0,17,"F",10.133
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,"C3",113.834
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,"C4",18.133
"A",1,5,1999,0,"Intact",9,0,"1. Control",0,18,"F",0.053
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,"C3",80.733
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,"C4",39.033
"A",1,5,2000,0,"Intact",9,0,"1. Control",0,19,"F",0.033
"A",1,5,2001,0,"Intact",9,0,"1. Control",0,20,"C3",160.53
"A",1,5,2001,0,"Intact",9,0,"1. Control",0,20,"C4",30.767
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,"C3",138.497
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,"C4",4.977
"A",1,5,2002,0,"Intact",9,0,"1. Control",0,21,"F",2.366
"A",1,5,2003,0,"Intact",9,0,"1. Control",0,22,"C3",115.833
"A",1,5,2003,0,"Intact",9,0,"1. Control",0,22,"C4",7.367
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,"C3",155.837
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,"C4",5.6667
"A",1,5,2004,0,"Intact",9,0,"1. Control",0,23,"F",11.0663
"A",1,6,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C3",47
"A",1,6,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C4",1.407
"A",1,6,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"F",138.807
"A",1,6,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"C3",406.354
"A",1,6,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"C4",0.013
"A",1,6,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"F",9.453
"A",1,6,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"C3",256.476
"A",1,6,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"F",14.354
"A",1,6,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"C3",340
"A",1,6,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"F",3.367
"A",1,6,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"C3",200.4
"A",1,6,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"C3",247.967
"A",1,6,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"C3",44.9
"A",1,6,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"C3",408.37
"A",1,6,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"C3",127.853
"A",1,6,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"C3",389.57
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"C3",203.803
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"C4",0.033
"A",1,6,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"F",125.57
"A",1,6,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"C3",218.6
"A",1,6,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"F",6.368
"A",1,6,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"C3",156.37
"A",1,6,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"F",1.133
"A",1,6,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"C3",222.4
"A",1,6,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"F",70.967
"A",1,6,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"C3",374.83
"A",1,6,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"F",15.933
"A",1,6,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"C3",15.033
"A",1,6,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"F",6.067
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"C3",104.8
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"C4",0.207
"A",1,6,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"F",374.444
"A",1,6,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"C3",509.93
"A",1,6,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"F",2.037
"A",1,6,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"C3",249.967
"A",1,6,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"F",1.167
"A",1,6,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"C3",165.463
"A",1,6,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"F",76.4
"A",1,6,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C3",205.333
"A",1,6,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"F",3.504
"A",1,6,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"C3",190.4
"A",1,6,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"F",7.334
"A",1,6,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"C3",301.1
"A",1,6,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"F",11.8333
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C3",66.433
