"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,5,1997,0,"Intact",9,"1. Control",0,0,16,"PERENNIAL",56.699
"A",1,5,1998,0,"Intact",9,"1. Control",0,0,17,"PERENNIAL",112.233
"A",1,5,1999,0,"Intact",9,"1. Control",0,0,18,"PERENNIAL",132.02
"A",1,5,2000,0,"Intact",9,"1. Control",0,0,19,"PERENNIAL",119.799
"A",1,5,2001,0,"Intact",9,"1. Control",0,0,20,"PERENNIAL",191.297
"A",1,5,2002,0,"Intact",9,"1. Control",0,0,21,"ANNUAL",0.01
"A",1,5,2002,0,"Intact",9,"1. Control",0,0,21,"PERENNIAL",145.83
"A",1,5,2003,0,"Intact",9,"1. Control",0,0,22,"PERENNIAL",123.2
"A",1,5,2004,0,"Intact",9,"1. Control",0,0,23,"ANNUAL",0.5333
"A",1,5,2004,0,"Intact",9,"1. Control",0,0,23,"BIENNIAL",10.433
"A",1,5,2004,0,"Intact",9,"1. Control",0,0,23,"PERENNIAL",161.6037
"A",1,6,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"ANNUAL",38.307
"A",1,6,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"BIENNIAL",89.107
"A",1,6,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"PERENNIAL",59.8
"A",1,6,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"ANNUAL",1.58
"A",1,6,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"BIENNIAL",7.1
"A",1,6,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"PERENNIAL",407.14
"A",1,6,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"ANNUAL",3.537
"A",1,6,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"BIENNIAL",10
"A",1,6,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"PERENNIAL",257.293
"A",1,6,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"ANNUAL",3.367
"A",1,6,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"PERENNIAL",340
"A",1,6,1986,0,"Intact",8,"2. NPK+",27.2,1,5,"PERENNIAL",200.4
"A",1,6,1987,0,"Intact",8,"2. NPK+",27.2,1,6,"PERENNIAL",247.967
"A",1,6,1988,0,"Intact",8,"2. NPK+",27.2,1,7,"PERENNIAL",44.9
"A",1,6,1989,0,"Intact",8,"2. NPK+",27.2,1,8,"PERENNIAL",408.37
"A",1,6,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"PERENNIAL",127.853
"A",1,6,1991,0,"Intact",8,"2. NPK+",27.2,1,10,"PERENNIAL",389.57
"A",1,6,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"ANNUAL",125.603
"A",1,6,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"PERENNIAL",203.803
"A",1,6,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"ANNUAL",1.334
"A",1,6,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"BIENNIAL",4
"A",1,6,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"PERENNIAL",219.567
"A",1,6,1993,0,"Intact",8,"2. NPK+",27.2,1,12,NA,0.067
"A",1,6,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"BIENNIAL",1.133
"A",1,6,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"PERENNIAL",156.37
"A",1,6,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"ANNUAL",37.9
"A",1,6,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"BIENNIAL",9.567
"A",1,6,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"PERENNIAL",245.9
"A",1,6,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"ANNUAL",15.2
"A",1,6,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"BIENNIAL",0.733
"A",1,6,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"PERENNIAL",374.83
"A",1,6,1997,0,"Intact",8,"2. NPK+",27.2,1,16,"ANNUAL",6.067
"A",1,6,1997,0,"Intact",8,"2. NPK+",27.2,1,16,"PERENNIAL",15.033
"A",1,6,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"BIENNIAL",0.007
"A",1,6,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"PERENNIAL",479.444
"A",1,6,1999,0,"Intact",8,"2. NPK+",27.2,1,18,"ANNUAL",1.137
"A",1,6,1999,0,"Intact",8,"2. NPK+",27.2,1,18,"PERENNIAL",510.83
"A",1,6,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"ANNUAL",0.8
"A",1,6,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"PERENNIAL",250.334
"A",1,6,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"ANNUAL",61.633
"A",1,6,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"BIENNIAL",1.6
"A",1,6,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"PERENNIAL",178.63
"A",1,6,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"ANNUAL",0.037
"A",1,6,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"PERENNIAL",208.8
"A",1,6,2003,0,"Intact",8,"2. NPK+",27.2,1,22,"ANNUAL",0.334
"A",1,6,2003,0,"Intact",8,"2. NPK+",27.2,1,22,"PERENNIAL",197.4
"A",1,6,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"ANNUAL",6.6333
"A",1,6,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"PERENNIAL",306.3
"A",1,11,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"ANNUAL",37.163
"A",1,11,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"BIENNIAL",57.8
"A",1,11,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"PERENNIAL",69.8
"A",1,11,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"ANNUAL",0.133
"A",1,11,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"BIENNIAL",0.047
"A",1,11,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"PERENNIAL",1267.234
"A",1,11,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"ANNUAL",0.033
"A",1,11,1984,0,"Intact",8,"2. NPK+",27.2,1,3,"PERENNIAL",283.5
"A",1,11,1985,0,"Intact",8,"2. NPK+",27.2,1,4,"PERENNIAL",364.583
"A",1,11,1986,0,"Intact",8,"2. NPK+",27.2,1,5,"BIENNIAL",0.013
"A",1,11,1986,0,"Intact",8,"2. NPK+",27.2,1,5,"PERENNIAL",160.663
"A",1,11,1987,0,"Intact",8,"2. NPK+",27.2,1,6,"PERENNIAL",199.33
"A",1,11,1988,0,"Intact",8,"2. NPK+",27.2,1,7,"PERENNIAL",10.333
"A",1,11,1989,0,"Intact",8,"2. NPK+",27.2,1,8,"PERENNIAL",244
"A",1,11,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"ANNUAL",0.457
"A",1,11,1990,0,"Intact",8,"2. NPK+",27.2,1,9,"PERENNIAL",70.543
"A",1,11,1991,0,"Intact",8,"2. NPK+",27.2,1,10,"BIENNIAL",0.033
"A",1,11,1991,0,"Intact",8,"2. NPK+",27.2,1,10,"PERENNIAL",314.27
