TSTAID;Bank;Surface;PctCanopy;imidacloprid;median.of.sumconcn_triazH;pyrethroid_deg_sum;Bifenthrin;Tmax42.C.OBSYN;TP_MED_42DAY;TN_MED_42DAY;NH3_MED_42DAY;RBS;MMI_NRSA;MMI_BENT;BC_2.RelAbun;BC_3.RelAbun;BC_4.RelAbun;UrbanTotal2011;AgricultureTotal2011;SandContent;r50_ForestTotal2011;BasinArea;BFI;PreWisconsinan;LateWisconsinan;Slope
T05487550;1;0;37;16.23;996.97;0;0.18;29.88;0.15;12.3;0.03;0.01;51.4;15.27;0.01;0.44;0.31;5.1;73.21;5.15;23.12;52.47;31.54;100;0;4.95
T410150083125701;0.5;0.5;51;430.98;1933.5;5.1;0.2;27.47;0.12;3.62;0.02;NA;NA;42.53;0.02;0.38;0.22;7.91;80.31;13.64;12.67;1999.47;20.72;0;100;1.53
T05483450;0.71;0.29;26;30.81;504.05;4.3;0.22;31.03;0.25;18.1;0;0.01;23.1;65.93;0.06;0.19;0.17;7.62;87.28;23.77;25.37;989.03;51.7;38.59;61.41;4.01
T05592195;0.72;0.28;54;167.11;933.78;5.96;0.22;29.65;0.13;1.57;0.04;0.05;56.3;32.27;0.02;0.17;0.35;9.3;65.39;8.97;60.73;254.42;17.12;100;0;3.22
T05531500;0;1;51;1934.41;339.02;14.91;0.23;31.13;1.17;5.08;0.12;0.36;56.4;36.25;0.15;0.53;0.02;91.68;0.32;11.92;10.99;291.51;33.59;0;100;2.05
T06610765;0.76;0.24;9;1004.63;820.82;10.25;0.28;31.29;0.17;2.05;0.05;0.72;46.2;6.4;0.09;0.11;0.16;47.42;31.13;2.58;0;129.78;41.15;100;0;7.37
T05471090;0.76;0.24;21;6.98;669.92;0;0.31;25.22;0.06;20.3;0.02;0.01;46.1;39.27;0.03;0.38;0.27;7;92.18;29.95;5.36;19.9;39;0;100;1.24
T412911089540101;0.57;0.43;0;NA;238.89;NA;0.33;32.5;0.09;6.05;0.01;0.03;48.8;36.8;0.04;0.32;0.11;5.97;87.53;31.36;0;1347.89;41.34;62.98;37.02;1.64
T05320410;0.62;0.38;NA;35.59;780.8;5.34;0.44;19.85;0.34;10.9;0.01;NA;33.5;42.72;0.09;0.26;0.28;6.32;87.99;20.26;0;504.49;47.51;0;100;1.14
T420626089101201;0.87;0.13;16;15.05;658.12;1.18;0.5;26.98;0.09;10.31;0.03;0.07;81.5;55.15;0.21;0.48;0.21;4.26;89.97;17.33;20.47;81.41;46.08;100;0;2.61
T05418180;0.81;0.19;70;9.94;1017.61;9.87;0.51;22.62;0.2;12.55;0.12;0.01;64.9;48.78;0.16;0.35;0.28;7.4;89.27;17.82;22.63;17.13;51;100;0;3.89
T05481820;0.82;0.18;62;24.08;465.78;1.02;0.53;33.54;0.11;17.6;0.01;0.04;44.1;71.82;0.03;0.33;0.16;7.33;89.76;30.46;0;526.18;43.89;0;100;1.57
T05599100;0.87;0.13;86;117.95;2737.86;2.84;0.53;29.05;0.13;0.6;0.04;0.01;48.5;35.4;0.03;0.12;0.58;6.26;65.94;10.76;56.76;425.83;11.22;100;0;2.82
T06893350;0.13;0.87;46;2855.87;220.27;0;0.58;31.92;0.04;0.54;0.04;1.15;52.7;26.92;0.23;0.33;0.27;86.29;10;4.78;40.84;56.16;20.68;0;0;3.84
T384240087103901;0.79;0.21;4;394.86;3404.89;14.26;0.6;34.16;0.33;2.89;0.07;0.01;47.3;14.35;0;0.07;0.2;6.61;81.55;19.95;44.09;319.29;28.01;100;0;2.5
T06800000;0.47;0.53;7;18.79;1614.15;19.02;0.63;31.65;0.24;3.5;0;0.01;24.7;23.65;0.01;0.22;0.2;4.61;81.51;4.49;4.35;955.02;41.31;100;0;5.22
T06610785;0.82;0.18;57;1567.21;477.94;24.66;0.83;29.81;0.59;4.46;0.08;0.02;35;10.2;0.09;0.22;0.15;53.51;35.09;2.58;0;152.49;40.48;100;0;5.93
T05451112;0.68;0.32;75;52.75;977.31;22.78;1.29;33.85;0.08;31.3;0.03;0;NA;29.72;0.08;0.3;0.31;6.91;91.1;29.98;19.92;264.65;43.41;0;100;1.36
